time,binance_price,huobi_price,kucoin_price
11:28:07,20848.63,20847.82,20846.0
11:28:09,20850.53,20847.82,20848.8
11:28:11,20852.37,20849.2,20851.7
11:28:13,20850.51,20849.2,20851.7
11:28:14,20850.55,20849.2,20851.6
11:28:16,20852.46,20849.2,20851.6
11:28:18,20851.48,20849.2,20851.6
11:28:20,20851.82,20849.2,20851.6
11:28:22,20850.83,20849.2,20851.6
11:28:24,20847.95,20849.2,20848.8
11:28:26,20846.66,20841.3,20848.8
11:28:28,20846.31,20841.3,20848.8
11:28:30,20847.18,20841.3,20846.2
11:28:33,20848.46,20841.3,20846.1
11:28:35,20848.07,20841.3,20846.1
11:28:37,20848.27,20845.61,20846.1
11:28:39,20846.68,20845.61,20846.2
11:28:41,20847.8,20845.61,20846.1
11:28:43,20847.45,20845.61,20846.1
11:28:45,20848.27,20845.61,20846.1
11:28:47,20847.51,20845.61,20846.2
11:28:49,20847.75,20845.61,20846.2
11:28:52,20848.28,20845.61,20846.2
11:28:54,20848.06,20845.61,20846.2
11:28:56,20845.0,20844.55,20843.4
11:28:57,20843.62,20844.55,20843.4
11:28:59,20842.15,20844.55,20843.3
11:29:01,20845.79,20844.03,20843.3
11:29:03,20845.7,20844.04,20843.4
11:29:05,20845.38,20845.09,20843.4
11:29:07,20844.2,20845.09,20843.4
11:29:09,20845.4,20845.09,20843.3
11:29:10,20847.29,20845.66,20843.4
11:29:13,20847.18,20845.66,20843.4
11:29:16,20847.31,20846.63,20843.3
11:29:17,20846.21,20846.64,20843.4
11:29:20,20849.06,20846.64,20843.4
11:29:22,20849.48,20846.64,20843.4
11:29:23,20848.56,20846.64,20843.4
11:29:25,20848.61,20846.63,20846.3
11:29:27,20847.68,20846.63,20846.3
11:29:29,20843.93,20846.63,20846.3
11:29:31,20844.51,20846.63,20846.3
11:29:33,20844.46,20846.63,20846.2
11:29:36,20845.59,20846.63,20846.2
11:29:38,20846.47,20846.63,20846.3
11:29:40,20844.01,20845.57,20846.2
11:29:42,20843.12,20845.58,20843.6
11:29:44,20843.5,20845.58,20843.6
11:29:46,20843.08,20845.58,20843.6
11:29:49,20844.42,20845.58,20843.6
11:29:51,20843.51,20844.75,20843.5
11:29:54,20843.1,20844.74,20843.6
11:29:57,20844.04,20843.55,20843.6
11:29:59,20842.53,20843.55,20843.5
11:30:01,20843.41,20843.71,20843.5
11:30:03,20845.79,20843.71,20843.5
11:30:05,20843.96,20843.71,20843.5
11:30:07,20843.48,20843.71,20843.5
